Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dwight Powell,MIL,33,L,0,2,0,0,0,0,6,6,1,0,1,1,1,0,0,2,2,6
Wesley Iwundu,MIL,33,L,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,3
Team Totals,MIL,33,L,32,78,0.41,13,34,0.382,20,23,0.87,10,40,50,17,2,9,18,21,97
Ben Simmons,PHI,34,L,11,17,0.647,1,1,1,1,4,0.25,1,6,7,8,1,0,7,4,24
Joel Embiid,PHI,34,L,13,22,0.591,2,3,0.667,14,16,0.875,3,10,13,6,1,2,3,4,42
Seth Curry,PHI,34,L,1,13,0.077,1,7,0.143,1,2,0.5,0,2,2,2,1,0,1,1,4
Danny Green,PHI,34,L,3,8,0.375,3,8,0.375,0,0,0,1,3,4,1,2,3,2,4,9
Furkan Korkmaz,PHI,34,L,3,9,0.333,1,5,0.2,1,3,0.333,1,3,4,1,0,0,1,1,8
Shake Milton,PHI,34,L,3,8,0.375,0,2,0,5,6,0.833,1,5,6,2,1,2,1,5,11
Mike Scott,PHI,34,L,2,2,1,1,1,1,0,2,0,0,4,4,1,1,0,1,1,5
Matisse Thybulle,PHI,34,L,2,3,0.667,1,1,1,0,0,0,0,1,1,1,2,1,0,2,5
Dwight Howard,PHI,34,L,0,1,0,0,0,0,1,2,0.5,1,3,4,2,0,1,3,4,1
Tyrese Maxey,PHI,34,L,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Terrance Ferguson,PHI,34,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,PHI,34,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,34,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,34,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,34,L,38,83,0.458,10,28,0.357,23,35,0.657,8,38,46,25,9,10,19,26,109
Collin Sexton,CLE,34,W,11,27,0.407,1,5,0.2,5,6,0.833,1,4,5,3,3,0,4,4,28
Darius Garland,CLE,34,W,9,24,0.375,2,5,0.4,5,7,0.714,1,1,2,9,2,0,4,2,25
Jarrett Allen,CLE,34,W,5,11,0.455,1,2,0.5,3,4,0.75,3,6,9,3,1,0,3,4,14
Isaac Okoro,CLE,34,W,6,9,0.667,1,2,0.5,2,3,0.667,5,3,8,3,3,0,0,6,15
Dean Wade,CLE,34,W,1,4,0.25,1,3,0.333,3,4,0.75,2,10,12,1,0,0,0,0,6
Dylan Windler,CLE,34,W,3,7,0.429,0,4,0,2,3,0.667,0,6,6,0,3,0,2,2,8
Lamar Stevens,CLE,34,W,0,3,0,0,1,0,0,0,0,1,3,4,0,0,1,2,3,0
Damyean Dotson,CLE,34,W,4,7,0.571,2,2,1,0,0,0,0,3,3,4,0,0,0,1,10
JaVale McGee,CLE,34,W,2,5,0.4,0,0,0,2,2,1,0,3,3,1,0,2,1,4,6
Cedi Osman,CLE,34,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
